statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,1,38,0.0
S2,0,1,2,37,0.0
S3,0,1,2,37,0.0
S4,0,1,2,37,0.0
S5,0,1,2,37,0.0
S6,0,1,1,38,0.0
S7,0,1,1,38,0.0
S8,0,1,2,37,0.0
S9,0,1,2,37,0.0
S10,0,1,2,37,0.0
S11,0,1,2,37,0.0
S12,0,1,2,37,0.0
S13,0,1,2,37,0.0
S14,0,1,4,35,0.0
S15,0,1,4,35,0.0
S16,0,1,4,35,0.0
S17,0,1,4,35,0.0
S18,0,1,4,35,0.0
S19,0,1,3,36,0.0
S20,0,1,1,38,0.0
S21,0,1,1,38,0.0
S22,0,1,1,38,0.0
S23,0,1,1,38,0.0
S24,0,1,1,38,0.0
S25,0,1,1,38,0.0
S26,0,1,1,38,0.0
S27,0,1,4,35,0.0
S28,0,1,4,35,0.0
S29,0,1,4,35,0.0
S30,0,1,4,35,0.0
S31,0,1,4,35,0.0
S32,0,1,3,36,0.0
S33,0,1,1,38,0.0
S34,0,1,1,38,0.0
S35,0,1,1,38,0.0
S36,0,1,1,38,0.0
S37,0,1,1,38,0.0
S38,0,1,1,38,0.0
S39,0,1,1,38,0.0
S40,0,1,1,38,0.0
S41,0,1,1,38,0.0
S42,0,1,1,38,0.0
S43,0,1,1,38,0.0
S44,0,1,1,38,0.0
S45,0,1,1,38,0.0
S46,0,1,1,38,0.0
S47,0,1,1,38,0.0
S48,0,1,1,38,0.0
S49,0,1,1,38,0.0
S50,0,1,1,38,0.0
S51,0,1,1,38,0.0
S52,0,1,1,38,0.0
S53,0,1,1,38,0.0
S54,0,1,1,38,0.0
S55,0,1,1,38,0.0
S56,0,1,1,38,0.0
S57,0,1,1,38,0.0
S58,0,1,1,38,0.0
S59,0,1,1,38,0.0
S60,0,1,1,38,0.0
S61,0,1,4,35,0.0
S62,1,0,9,30,0.316228
S63,1,0,9,30,0.316228
S64,1,0,6,33,0.377964
S65,1,0,6,33,0.377964
S66,1,0,6,33,0.377964
S67,1,0,9,30,0.316228
S68,0,1,7,32,0.0
S69,0,1,7,32,0.0
S70,0,1,7,32,0.0
S71,0,1,7,32,0.0
S72,1,0,6,33,0.377964
S73,1,0,6,33,0.377964
S74,1,0,6,33,0.377964
S75,1,0,6,33,0.377964
S76,0,1,4,35,0.0
S77,1,0,8,31,0.333333
S78,0,1,2,37,0.0
S79,0,1,1,38,0.0
S80,0,1,1,38,0.0
S81,0,1,1,38,0.0
S82,0,1,1,38,0.0
S83,0,1,1,38,0.0
S84,0,1,1,38,0.0
S85,0,1,1,38,0.0
S86,0,1,1,38,0.0
S87,0,1,1,38,0.0
S88,0,1,1,38,0.0
S89,0,1,1,38,0.0
S90,0,1,2,37,0.0
S91,0,1,2,37,0.0
S92,0,1,2,37,0.0
S93,0,1,1,38,0.0
S94,0,1,1,38,0.0
S95,0,1,1,38,0.0
S96,0,1,1,38,0.0
S97,0,1,1,38,0.0
S98,0,1,1,38,0.0
S99,0,1,1,38,0.0
S100,1,0,39,0,0.158114
S101,1,0,39,0,0.158114
S102,0,1,7,32,0.0
S103,0,1,7,32,0.0
S104,1,0,6,33,0.377964
S105,1,0,6,33,0.377964
S106,1,0,6,33,0.377964
S107,0,1,4,35,0.0
S108,0,1,4,35,0.0
S109,0,1,4,35,0.0
S110,0,1,4,35,0.0
S111,0,1,4,35,0.0
S112,0,1,2,37,0.0
S113,0,1,2,37,0.0
S114,0,1,2,37,0.0
S115,0,1,2,37,0.0
S116,0,1,2,37,0.0
S117,0,1,2,37,0.0
S118,0,1,3,36,0.0
S119,0,1,3,36,0.0
S120,0,1,4,35,0.0
S121,0,1,2,37,0.0
S122,0,1,2,37,0.0
S123,0,1,2,37,0.0
S124,0,1,2,37,0.0
S125,0,1,2,37,0.0
S126,0,1,3,36,0.0
S127,0,1,3,36,0.0
S128,0,1,3,36,0.0
S129,0,1,3,36,0.0
S130,0,1,3,36,0.0
S131,0,1,3,36,0.0
S132,0,1,2,37,0.0
S133,0,1,3,36,0.0
S134,0,1,3,36,0.0
S135,0,1,3,36,0.0
S136,0,1,4,35,0.0
S137,0,1,4,35,0.0
S138,0,1,2,37,0.0
S139,0,1,2,37,0.0
S140,0,1,2,37,0.0
S141,0,1,2,37,0.0
S142,0,1,4,35,0.0
S143,0,1,3,36,0.0
S144,0,1,3,36,0.0
S145,0,1,3,36,0.0
S146,0,1,3,36,0.0
S147,0,1,1,38,0.0
S148,0,1,2,37,0.0
S149,0,1,2,37,0.0
S150,0,1,2,37,0.0
S151,0,1,2,37,0.0
S152,0,1,3,36,0.0
S153,0,1,3,36,0.0
S154,0,1,3,36,0.0
S155,0,1,1,38,0.0
S156,0,1,2,37,0.0
S157,0,1,2,37,0.0
S158,0,1,2,37,0.0
S159,0,1,4,35,0.0
S160,0,1,1,38,0.0
S161,0,1,1,38,0.0
S162,0,1,1,38,0.0
S163,0,1,4,35,0.0
S164,0,1,4,35,0.0
S165,0,1,4,35,0.0
S166,0,1,4,35,0.0
S167,0,1,3,36,0.0
S168,0,1,2,37,0.0
S169,0,1,2,37,0.0
S170,0,1,2,37,0.0
S171,0,1,4,35,0.0
S172,0,1,2,37,0.0
S173,0,1,2,37,0.0
S174,0,1,2,37,0.0
S175,0,1,4,35,0.0
S176,0,1,4,35,0.0
S177,0,1,4,35,0.0
S178,0,1,4,35,0.0
S179,0,1,1,38,0.0
S180,0,1,1,38,0.0
S181,0,1,1,38,0.0
S182,0,1,1,38,0.0
S183,0,1,1,38,0.0
S184,0,1,1,38,0.0
S185,0,1,1,38,0.0
S186,0,1,1,38,0.0
S187,0,1,1,38,0.0
S188,0,1,2,37,0.0
S189,0,1,4,35,0.0
S190,0,1,4,35,0.0
S191,0,1,2,37,0.0
S192,0,1,2,37,0.0
S193,0,1,2,37,0.0
S194,0,1,2,37,0.0
S195,0,1,2,37,0.0
S196,0,1,3,36,0.0
S197,0,1,3,36,0.0
S198,0,1,3,36,0.0
S199,0,1,3,36,0.0
S200,1,0,39,0,0.158114
S201,1,0,39,0,0.158114
S202,1,0,39,0,0.158114
S203,1,0,39,0,0.158114
S204,1,0,39,0,0.158114
S205,1,0,39,0,0.158114
S206,1,0,39,0,0.158114
S207,1,0,39,0,0.158114
S208,1,0,39,0,0.158114
S209,1,0,39,0,0.158114
S210,1,0,39,0,0.158114
S211,1,0,39,0,0.158114
S212,1,0,39,0,0.158114
S213,1,0,39,0,0.158114
S214,1,0,39,0,0.158114
S215,1,0,10,29,0.301511
S216,1,0,39,0,0.158114
S217,1,0,39,0,0.158114
S218,1,0,39,0,0.158114
S219,1,0,39,0,0.158114
S220,1,0,10,29,0.301511
S221,1,0,10,29,0.301511
S222,1,0,39,0,0.158114
S223,1,0,39,0,0.158114
S224,1,0,39,0,0.158114
S225,0,1,1,38,0.0
S226,0,1,1,38,0.0
S227,0,1,1,38,0.0
S228,0,1,1,38,0.0
S229,0,1,1,38,0.0
S230,0,1,1,38,0.0
S231,1,0,39,0,0.158114
S232,1,0,39,0,0.158114
S233,1,0,10,29,0.301511
S234,1,0,7,32,0.353553
S235,0,1,28,11,0.0
S236,0,1,28,11,0.0
S237,0,1,8,31,0.0
S238,0,1,8,31,0.0
S239,0,1,7,32,0.0
S240,0,1,7,32,0.0
S241,0,1,2,37,0.0
S242,0,1,20,19,0.0
S243,0,1,19,20,0.0
S244,0,1,3,36,0.0
S245,1,0,39,0,0.158114
S246,1,0,39,0,0.158114
S247,1,0,10,29,0.301511
S248,1,0,6,33,0.377964
S249,0,1,8,31,0.0
S250,0,1,8,31,0.0
S251,0,1,8,31,0.0
S252,0,1,2,37,0.0
S253,0,1,2,37,0.0
S254,0,1,1,38,0.0
S255,0,1,1,38,0.0
S256,0,1,1,38,0.0
S257,0,1,1,38,0.0
S258,0,1,1,38,0.0
S259,0,1,1,38,0.0
S260,0,1,1,38,0.0
S261,0,1,1,38,0.0
S262,0,1,1,38,0.0
S263,0,1,1,38,0.0
S264,0,1,1,38,0.0
S265,0,1,1,38,0.0
S266,0,1,1,38,0.0
S267,0,1,1,38,0.0
S268,0,1,1,38,0.0
S269,0,1,1,38,0.0
S270,0,1,1,38,0.0
S271,0,1,1,38,0.0
S272,0,1,1,38,0.0
S273,0,1,1,38,0.0
S274,0,1,1,38,0.0
S275,0,1,1,38,0.0
S276,0,1,1,38,0.0
S277,0,1,1,38,0.0
S278,0,1,1,38,0.0
S279,0,1,1,38,0.0
S280,0,1,1,38,0.0
S281,0,1,1,38,0.0
S282,0,1,1,38,0.0
S283,0,1,5,34,0.0
S284,0,1,4,35,0.0
S285,0,1,2,37,0.0
S286,0,1,6,33,0.0
S287,0,1,3,36,0.0
S288,0,1,5,34,0.0
S289,0,1,1,38,0.0
S290,0,1,1,38,0.0
S291,0,1,1,38,0.0
S292,0,1,2,37,0.0
S293,0,1,2,37,0.0
S294,0,1,2,37,0.0
S295,0,1,2,37,0.0
S296,0,1,2,37,0.0
S297,0,1,1,38,0.0
S298,0,1,1,38,0.0
S299,0,1,1,38,0.0
S300,0,1,1,38,0.0
S301,0,1,2,37,0.0
S302,0,1,2,37,0.0
S303,0,1,4,35,0.0
S304,0,1,6,33,0.0
S305,0,1,3,36,0.0
S306,0,1,1,38,0.0
S307,0,1,1,38,0.0
S308,0,1,1,38,0.0
S309,0,1,1,38,0.0
S310,0,1,1,38,0.0
S311,0,1,1,38,0.0
S312,0,1,1,38,0.0
S313,0,1,1,38,0.0
S314,0,1,1,38,0.0
S315,0,1,1,38,0.0
S316,0,1,1,38,0.0
S317,0,1,1,38,0.0
S318,0,1,1,38,0.0
S319,0,1,1,38,0.0
S320,0,1,1,38,0.0
S321,0,1,1,38,0.0
S322,0,1,1,38,0.0
S323,0,1,1,38,0.0
S324,0,1,1,38,0.0
S325,0,1,1,38,0.0
S326,0,1,1,38,0.0
S327,0,1,2,37,0.0
S328,0,1,1,38,0.0
S329,0,1,3,36,0.0
S330,0,1,3,36,0.0
S331,0,1,1,38,0.0
S332,0,1,1,38,0.0
S333,0,1,1,38,0.0
S334,0,1,1,38,0.0
S335,0,1,1,38,0.0
S336,0,1,2,37,0.0
S337,0,1,2,37,0.0
S338,0,1,2,37,0.0
S339,0,1,2,37,0.0
S340,0,1,2,37,0.0
S341,0,1,1,38,0.0
S342,0,1,1,38,0.0
S343,0,1,1,38,0.0
S344,0,1,2,37,0.0
S345,0,1,2,37,0.0
S346,0,1,2,37,0.0
S347,0,1,1,38,0.0
S348,0,1,1,38,0.0
S349,0,1,1,38,0.0
S350,0,1,1,38,0.0
S351,0,1,1,38,0.0
S352,0,1,1,38,0.0
S353,0,1,2,37,0.0
S354,0,1,1,38,0.0
S355,0,1,1,38,0.0
S356,0,1,1,38,0.0
S357,0,1,1,38,0.0
S358,0,1,1,38,0.0
S359,0,1,1,38,0.0
S360,0,1,1,38,0.0
S361,0,1,1,38,0.0
S362,0,1,1,38,0.0
S363,0,1,1,38,0.0
S364,0,1,1,38,0.0
S365,0,1,1,38,0.0
S366,0,1,1,38,0.0
S367,0,1,1,38,0.0
S368,0,1,1,38,0.0
S369,0,1,1,38,0.0
S370,0,1,1,38,0.0
S371,0,1,1,38,0.0
S372,0,1,1,38,0.0
S373,0,1,1,38,0.0
S374,0,1,1,38,0.0
S375,0,1,1,38,0.0
S376,0,1,1,38,0.0
S377,0,1,1,38,0.0
S378,0,1,1,38,0.0
S379,0,1,1,38,0.0
S380,0,1,1,38,0.0
S381,0,1,1,38,0.0
S382,0,1,1,38,0.0
S383,0,1,1,38,0.0
S384,0,1,1,38,0.0
S385,0,1,1,38,0.0
S386,0,1,1,38,0.0
S387,0,1,1,38,0.0
S388,0,1,1,38,0.0
S389,0,1,1,38,0.0
S390,0,1,1,38,0.0
S391,0,1,1,38,0.0
S392,0,1,1,38,0.0
S393,0,1,1,38,0.0
S394,0,1,1,38,0.0
S395,0,1,1,38,0.0
S396,0,1,1,38,0.0
S397,0,1,1,38,0.0
S398,0,1,1,38,0.0
S399,0,1,1,38,0.0
S400,0,1,1,38,0.0
S401,0,1,1,38,0.0
S402,0,1,1,38,0.0
S403,0,1,1,38,0.0
S404,0,1,1,38,0.0
S405,0,1,1,38,0.0
S406,0,1,1,38,0.0
S407,0,1,1,38,0.0
S408,0,1,1,38,0.0
S409,0,1,1,38,0.0
S410,0,1,1,38,0.0
S411,0,1,1,38,0.0
S412,0,1,1,38,0.0
S413,0,1,1,38,0.0
S414,0,1,1,38,0.0
S415,0,1,1,38,0.0
S416,0,1,1,38,0.0
S417,0,1,1,38,0.0
S418,0,1,1,38,0.0
S419,0,1,1,38,0.0
S420,0,1,1,38,0.0
S421,0,1,1,38,0.0
S422,0,1,1,38,0.0
S423,0,1,1,38,0.0
S424,0,1,1,38,0.0
S425,0,1,1,38,0.0
S426,0,1,1,38,0.0
S427,0,1,1,38,0.0
S428,0,1,1,38,0.0
S429,0,1,1,38,0.0
S430,0,1,1,38,0.0
S431,0,1,1,38,0.0
S432,0,1,1,38,0.0
S433,0,1,1,38,0.0
S434,0,1,1,38,0.0
S435,0,1,1,38,0.0
S436,0,1,1,38,0.0
S437,0,1,1,38,0.0
S438,0,1,1,38,0.0
S439,0,1,1,38,0.0
S440,0,1,1,38,0.0
S441,0,1,1,38,0.0
S442,0,1,1,38,0.0
S443,0,1,1,38,0.0
S444,0,1,1,38,0.0
S445,0,1,1,38,0.0
S446,0,1,1,38,0.0
S447,0,1,1,38,0.0
S448,0,1,1,38,0.0
S449,0,1,1,38,0.0
S450,0,1,1,38,0.0
S451,0,1,1,38,0.0
S452,0,1,1,38,0.0
S453,0,1,1,38,0.0
S454,0,1,1,38,0.0
S455,0,1,1,38,0.0
S456,0,1,1,38,0.0
S457,0,1,1,38,0.0
S458,0,1,1,38,0.0
S459,0,1,1,38,0.0
S460,0,1,1,38,0.0
S461,0,1,1,38,0.0
S462,0,1,1,38,0.0
S463,0,1,1,38,0.0
S464,0,1,1,38,0.0
S465,0,1,1,38,0.0
S466,0,1,1,38,0.0
S467,0,1,1,38,0.0
S468,0,1,1,38,0.0
S469,0,1,1,38,0.0
S470,0,1,1,38,0.0
S471,0,1,1,38,0.0
S472,0,1,1,38,0.0
S473,0,1,1,38,0.0
S474,0,1,1,38,0.0
S475,0,1,1,38,0.0
S476,0,1,1,38,0.0
S477,0,1,1,38,0.0
S478,0,1,1,38,0.0
S479,0,1,1,38,0.0
S480,0,1,1,38,0.0
S481,0,1,1,38,0.0
S482,0,1,1,38,0.0
S483,0,1,1,38,0.0
S484,0,1,1,38,0.0
S485,0,1,1,38,0.0
S486,0,1,1,38,0.0
S487,0,1,1,38,0.0
S488,0,1,1,38,0.0
S489,0,1,1,38,0.0
S490,0,1,1,38,0.0
S491,0,1,1,38,0.0
S492,0,1,5,34,0.0
S493,0,1,6,33,0.0
S494,0,1,6,33,0.0
S495,1,0,23,16,0.204124
S496,1,0,2,37,0.57735
S497,0,1,17,22,0.0
S498,0,1,4,35,0.0
S499,0,1,17,22,0.0
S500,0,1,17,22,0.0
S501,0,1,17,22,0.0
S502,0,1,17,22,0.0
S503,0,1,17,22,0.0
S504,0,1,17,22,0.0
S505,0,1,17,22,0.0
S506,0,1,17,22,0.0
S507,0,1,17,22,0.0
S508,0,1,17,22,0.0
S509,0,1,17,22,0.0
S510,0,1,14,25,0.0
S511,0,1,14,25,0.0
S512,0,1,8,31,0.0
S513,0,1,8,31,0.0
S514,0,1,2,37,0.0
S515,0,1,7,32,0.0
S516,1,0,7,32,0.353553
S517,1,0,1,38,0.707107
S518,1,0,1,38,0.707107
S519,1,0,1,38,0.707107
S520,1,0,1,38,0.707107
S521,0,1,5,34,0.0
S522,0,1,1,38,0.0
S523,0,1,6,33,0.0
S524,0,1,5,34,0.0
S525,0,1,2,37,0.0
S526,0,1,2,37,0.0
S527,0,1,2,37,0.0
S528,0,1,1,38,0.0
S529,0,1,3,36,0.0
S530,0,1,3,36,0.0
S531,0,1,8,31,0.0
S532,0,1,9,30,0.0
S533,0,1,9,30,0.0
S534,0,1,4,35,0.0
S535,0,1,4,35,0.0
S536,0,1,4,35,0.0
S537,0,1,4,35,0.0
S538,0,1,4,35,0.0
S539,0,1,2,37,0.0
S540,0,1,4,35,0.0
S541,0,1,4,35,0.0
S542,0,1,1,38,0.0
S543,0,1,4,35,0.0
S544,0,1,4,35,0.0
S545,0,1,4,35,0.0
S546,0,1,4,35,0.0
S547,0,1,1,38,0.0
S548,0,1,4,35,0.0
S549,0,1,3,36,0.0
S550,0,1,1,38,0.0
S551,0,1,1,38,0.0
S552,0,1,3,36,0.0
S553,0,1,2,37,0.0
S554,0,1,2,37,0.0
S555,0,1,1,38,0.0
S556,0,1,3,36,0.0
S557,0,1,1,38,0.0
S558,0,1,1,38,0.0
S559,0,1,1,38,0.0
S560,0,1,1,38,0.0
S561,0,1,1,38,0.0
S562,0,1,1,38,0.0
S563,0,1,3,36,0.0
S564,0,1,2,37,0.0
S565,0,1,3,36,0.0
S566,0,1,1,38,0.0
S567,0,1,3,36,0.0
S568,0,1,1,38,0.0
S569,0,1,3,36,0.0
S570,0,1,3,36,0.0
S571,0,1,3,36,0.0
S572,0,1,1,38,0.0
S573,0,1,2,37,0.0
S574,0,1,2,37,0.0
S575,0,1,2,37,0.0
S576,0,1,2,37,0.0
S577,0,1,3,36,0.0
S578,0,1,2,37,0.0
S579,0,1,2,37,0.0
S580,0,1,2,37,0.0
S581,0,1,1,38,0.0
S582,0,1,1,38,0.0
S583,0,1,8,31,0.0
S584,0,1,4,35,0.0
S585,0,1,7,32,0.0
S586,0,1,2,37,0.0
S587,0,1,3,36,0.0
S588,0,1,8,31,0.0
S589,0,1,2,37,0.0
S590,0,1,4,35,0.0
S591,0,1,9,30,0.0
S592,0,1,5,34,0.0
S593,0,1,3,36,0.0
S594,1,0,7,32,0.353553
S595,1,0,2,37,0.57735
S596,0,1,3,36,0.0
S597,0,1,2,37,0.0
S598,0,1,1,38,0.0
S599,0,1,1,38,0.0
S600,0,1,1,38,0.0
S601,0,1,1,38,0.0
S602,0,1,1,38,0.0
S603,0,1,3,36,0.0
S604,0,1,1,38,0.0
S605,0,1,1,38,0.0
S606,0,1,1,38,0.0
S607,0,1,2,37,0.0
S608,0,1,2,37,0.0
S609,0,1,6,33,0.0
S610,0,1,2,37,0.0
S611,0,1,2,37,0.0
S612,0,1,4,35,0.0
S613,0,1,4,35,0.0
S614,0,1,3,36,0.0
S615,0,1,1,38,0.0
S616,0,1,3,36,0.0
S617,0,1,1,38,0.0
S618,0,1,1,38,0.0
S619,0,1,1,38,0.0
S620,0,1,1,38,0.0
S621,0,1,2,37,0.0
S622,0,1,2,37,0.0
S623,1,0,12,27,0.27735
S624,1,0,6,33,0.377964
S625,0,1,6,33,0.0
S626,0,1,4,35,0.0
S627,1,0,6,33,0.377964
S628,1,0,6,33,0.377964
S629,1,0,6,33,0.377964
S630,0,1,2,37,0.0
S631,1,0,6,33,0.377964
S632,1,0,1,38,0.707107
S633,1,0,6,33,0.377964
S634,0,1,1,38,0.0
S635,1,0,6,33,0.377964
S636,0,1,3,36,0.0
S637,1,0,6,33,0.377964
S638,1,0,0,39,1.0
S639,1,0,6,33,0.377964
S640,1,0,6,33,0.377964
S641,0,1,1,38,0.0
S642,1,0,5,34,0.408248
S643,1,0,5,34,0.408248
S644,1,0,5,34,0.408248
S645,1,0,6,33,0.377964
S646,1,0,6,33,0.377964
S647,1,0,6,33,0.377964
S648,1,0,3,36,0.5
S649,1,0,2,37,0.57735
S650,1,0,2,37,0.57735
S651,0,1,1,38,0.0
S652,1,0,3,36,0.5
S653,0,1,1,38,0.0
S654,0,1,1,38,0.0
S655,0,1,1,38,0.0
S656,0,1,1,38,0.0
S657,0,1,1,38,0.0
S658,0,1,1,38,0.0
S659,0,1,2,37,0.0
S660,0,1,1,38,0.0
S661,0,1,1,38,0.0
S662,0,1,1,38,0.0
S663,0,1,1,38,0.0
S664,0,1,1,38,0.0
S665,0,1,1,38,0.0
S666,0,1,4,35,0.0
S667,0,1,1,38,0.0
S668,0,1,1,38,0.0
S669,0,1,1,38,0.0
S670,0,1,1,38,0.0
S671,0,1,1,38,0.0
S672,0,1,1,38,0.0
S673,0,1,2,37,0.0
S674,0,1,3,36,0.0
S675,0,1,1,38,0.0
S676,0,1,1,38,0.0
S677,0,1,1,38,0.0
S678,0,1,1,38,0.0
S679,0,1,1,38,0.0
S680,0,1,1,38,0.0
S681,0,1,1,38,0.0
S682,0,1,1,38,0.0
S683,0,1,1,38,0.0
S684,0,1,1,38,0.0
S685,0,1,1,38,0.0
S686,0,1,1,38,0.0
S687,0,1,1,38,0.0
S688,0,1,1,38,0.0
S689,0,1,1,38,0.0
S690,0,1,1,38,0.0
S691,0,1,1,38,0.0
S692,0,1,1,38,0.0
S693,0,1,1,38,0.0
S694,0,1,1,38,0.0
S695,0,1,1,38,0.0
S696,0,1,1,38,0.0
S697,0,1,1,38,0.0
S698,0,1,1,38,0.0
S699,0,1,1,38,0.0
S700,0,1,1,38,0.0
S701,0,1,1,38,0.0
S702,0,1,1,38,0.0
S703,0,1,1,38,0.0
S704,0,1,1,38,0.0
S705,0,1,1,38,0.0
S706,0,1,1,38,0.0
S707,0,1,1,38,0.0
S708,0,1,1,38,0.0
S709,0,1,1,38,0.0
S710,0,1,1,38,0.0
S711,0,1,1,38,0.0
S712,0,1,1,38,0.0
S713,0,1,1,38,0.0
S714,0,1,1,38,0.0
S715,0,1,1,38,0.0
S716,0,1,1,38,0.0
S717,0,1,1,38,0.0
S718,0,1,1,38,0.0
S719,0,1,1,38,0.0
S720,0,1,1,38,0.0
S721,0,1,1,38,0.0
S722,0,1,1,38,0.0
S723,0,1,1,38,0.0
S724,0,1,1,38,0.0
S725,0,1,1,38,0.0
S726,0,1,1,38,0.0
S727,0,1,1,38,0.0
S728,0,1,1,38,0.0
S729,0,1,1,38,0.0
S730,0,1,1,38,0.0
S731,0,1,1,38,0.0
S732,0,1,1,38,0.0
S733,0,1,1,38,0.0
S734,0,1,1,38,0.0
S735,0,1,1,38,0.0
S736,0,1,1,38,0.0
S737,0,1,1,38,0.0
S738,0,1,1,38,0.0
S739,0,1,1,38,0.0
S740,0,1,1,38,0.0
S741,0,1,1,38,0.0
S742,0,1,1,38,0.0
S743,0,1,1,38,0.0
S744,0,1,1,38,0.0
S745,0,1,1,38,0.0
S746,0,1,1,38,0.0
S747,0,1,1,38,0.0
S748,0,1,1,38,0.0
S749,0,1,1,38,0.0
S750,0,1,1,38,0.0
S751,0,1,1,38,0.0
S752,0,1,1,38,0.0
S753,0,1,1,38,0.0
S754,0,1,1,38,0.0
S755,0,1,1,38,0.0
S756,0,1,1,38,0.0
S757,0,1,1,38,0.0
S758,0,1,1,38,0.0
S759,0,1,1,38,0.0
S760,0,1,1,38,0.0
S761,0,1,1,38,0.0
S762,0,1,1,38,0.0
S763,0,1,1,38,0.0
S764,0,1,1,38,0.0
S765,0,1,1,38,0.0
S766,0,1,1,38,0.0
S767,0,1,1,38,0.0
S768,0,1,1,38,0.0
S769,0,1,1,38,0.0
S770,0,1,1,38,0.0
S771,0,1,1,38,0.0
S772,0,1,1,38,0.0
S773,0,1,1,38,0.0
S774,0,1,1,38,0.0
S775,0,1,1,38,0.0
S776,0,1,1,38,0.0
S777,0,1,1,38,0.0
S778,0,1,1,38,0.0
S779,0,1,1,38,0.0
S780,0,1,1,38,0.0
S781,0,1,1,38,0.0
S782,0,1,1,38,0.0
S783,0,1,1,38,0.0
S784,0,1,1,38,0.0
S785,0,1,1,38,0.0
S786,0,1,1,38,0.0
S787,0,1,1,38,0.0
S788,0,1,1,38,0.0
S789,0,1,1,38,0.0
S790,0,1,1,38,0.0
S791,0,1,1,38,0.0
S792,0,1,1,38,0.0
S793,0,1,1,38,0.0
S794,0,1,1,38,0.0
S795,0,1,1,38,0.0
S796,0,1,1,38,0.0
S797,0,1,1,38,0.0
S798,0,1,1,38,0.0
S799,0,1,1,38,0.0
S800,0,1,1,38,0.0
S801,0,1,1,38,0.0
S802,0,1,5,34,0.0
S803,0,1,5,34,0.0
S804,0,1,5,34,0.0
S805,0,1,5,34,0.0
S806,0,1,5,34,0.0
S807,0,1,5,34,0.0
S808,0,1,5,34,0.0
S809,0,1,5,34,0.0
S810,0,1,5,34,0.0
S811,1,0,39,0,0.158114
S812,1,0,39,0,0.158114
S813,1,0,10,29,0.301511
S814,1,0,7,32,0.353553
S815,0,1,1,38,0.0
S816,0,1,1,38,0.0
S817,0,1,1,38,0.0
S818,0,1,1,38,0.0
S819,0,1,1,38,0.0
S820,0,1,1,38,0.0
S821,0,1,1,38,0.0
S822,0,1,1,38,0.0
S823,0,1,1,38,0.0
S824,0,1,1,38,0.0
S825,0,1,1,38,0.0
S826,0,1,1,38,0.0
S827,0,1,1,38,0.0
S828,0,1,1,38,0.0
S829,0,1,1,38,0.0
S830,0,1,1,38,0.0
S831,0,1,1,38,0.0
S832,0,1,1,38,0.0
S833,0,1,1,38,0.0
S834,0,1,1,38,0.0
S835,0,1,1,38,0.0
S836,0,1,1,38,0.0
S837,0,1,1,38,0.0
S838,0,1,1,38,0.0
S839,0,1,1,38,0.0
S840,0,1,1,38,0.0
S841,0,1,1,38,0.0
S842,0,1,1,38,0.0
S843,0,1,1,38,0.0
S844,0,1,1,38,0.0
S845,0,1,1,38,0.0
S846,0,1,1,38,0.0
S847,0,1,1,38,0.0
S848,0,1,1,38,0.0
S849,0,1,1,38,0.0
S850,0,1,5,34,0.0
S851,0,1,5,34,0.0
S852,0,1,5,34,0.0
S853,0,1,5,34,0.0
S854,0,1,5,34,0.0
S855,0,1,5,34,0.0
S856,0,1,5,34,0.0
S857,0,1,5,34,0.0
S858,0,1,5,34,0.0
S859,0,1,5,34,0.0
S860,0,1,5,34,0.0
S861,0,1,5,34,0.0
S862,0,1,5,34,0.0
S863,0,1,5,34,0.0
S864,0,1,5,34,0.0
S865,0,1,5,34,0.0
S866,0,1,5,34,0.0
S867,0,1,5,34,0.0
S868,0,1,5,34,0.0
S869,0,1,5,34,0.0
S870,0,1,5,34,0.0
S871,0,1,5,34,0.0
S872,0,1,5,34,0.0
S873,0,1,5,34,0.0
S874,0,1,5,34,0.0
S875,0,1,5,34,0.0
S876,0,1,5,34,0.0
S877,0,1,5,34,0.0
S878,0,1,5,34,0.0
S879,0,1,5,34,0.0
S880,0,1,5,34,0.0
S881,0,1,5,34,0.0
S882,0,1,5,34,0.0
S883,0,1,5,34,0.0
S884,0,1,5,34,0.0
S885,1,0,39,0,0.158114
S886,1,0,39,0,0.158114
S887,1,0,10,29,0.301511
S888,1,0,6,33,0.377964
S889,0,1,1,38,0.0
S890,0,1,1,38,0.0
S891,0,1,1,38,0.0
S892,0,1,1,38,0.0
S893,0,1,1,38,0.0
S894,1,0,39,0,0.158114
S895,1,0,39,0,0.158114
S896,1,0,10,29,0.301511
S897,1,0,10,29,0.301511
S898,1,0,10,29,0.301511
S899,1,0,6,33,0.377964
S900,1,0,6,33,0.377964
S901,1,0,6,33,0.377964
S902,0,1,1,38,0.0
S903,0,1,1,38,0.0
S904,1,0,6,33,0.377964
S905,1,0,10,29,0.301511
S906,1,0,10,29,0.301511
S907,1,0,10,29,0.301511
S908,1,0,10,29,0.301511
S909,1,0,10,29,0.301511
S910,1,0,10,29,0.301511
S911,0,1,4,35,0.0
S912,1,0,4,35,0.447214
S913,1,0,4,35,0.447214
S914,1,0,4,35,0.447214
S915,0,1,1,38,0.0
S916,1,0,4,35,0.447214
S917,0,1,1,38,0.0
S918,1,0,4,35,0.447214
S919,1,0,4,35,0.447214
S920,1,0,4,35,0.447214
S921,1,0,3,36,0.5
S922,0,1,1,38,0.0
S923,1,0,3,36,0.5
